País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Casos Activos,Casos Críticos,Casos por millón,Muertes por millón,Pruebas realizadas,Pruebas por millón,Población
North America,"131,889,132",,"1,695,941",,"127,665,129","2,528,062","6,095",,,,North America,
Asia,"221,500,265",,"1,553,662",,"205,673,091","14,273,512","14,733",,,,Asia,
Europe,"253,406,198",,"2,101,824",,"248,754,104","2,550,270","4,453",,,,Europe,
South America,"70,200,879",,"1,367,332",,"66,683,585","2,149,962","8,953",,,,South America,
Oceania,"14,895,771",,"33,015",,"14,752,388","110,368",31,,,,Australia/Oceania,
Africa,"12,860,924",,"258,892",,"12,090,808","511,224",529,,,,Africa,
,721,,15,,706,0,0,,,,,
World,"704,753,890",0,"7,010,681",0,"675,619,811","22,123,398","34,794",,,,All,
USA,"111,820,082",,"1,219,487",,"109,814,428","786,167",940,"1,186,851,502","3,544,901","334,805,269",North America,3
India,"45,035,393",,"533,570",,N/A,N/A,N/A,"935,879,495","665,334","1,406,631,776",Asia,31
France,"40,138,560",,"167,642",,"39,970,918",0,,"271,490,188","4,139,547","65,584,518",Europe,2
Germany,"38,828,995",,"183,027",,"38,240,600","405,368",N/A,"122,332,384","1,458,359","83,883,596",Europe,2
Brazil,"38,743,918",,"711,380",,"36,249,161","1,783,377",N/A,"63,776,166","296,146","215,353,593",South America,6
S. Korea,"34,571,873",,"35,934",,"34,535,939",0,,"15,804,065","307,892","51,329,899",Asia,1
Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,"100,414,883","799,578","125,584,838",Asia,4
Italy,"26,723,249",,"196,487",,"26,361,218","165,544",22,"281,126,449","4,665,010","60,262,770",Europe,2
UK,"24,910,387",,"232,112",,"24,678,275",0,N/A,"522,526,476","7,628,357","68,497,907",Europe,3
Russia,"24,124,215",,"402,756",,"23,545,818","175,641",N/A,"273,400,000","1,875,095","145,805,947",Europe,6
Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,"162,743,369","1,902,052","85,561,976",Asia,5
Spain,"13,914,811",,"121,760",,"13,762,417","30,634",231,"471,036,328","10,082,298","46,719,142",Europe,3
Australia,"11,853,144",,"24,414",,"11,820,014","8,716",3,"81,916,639","3,142,326","26,068,792",Australia/Oceania,2
Vietnam,"11,625,195",,"43,206",,"10,640,971","941,018",,"85,826,548","867,342","98,953,541",Asia,9
Taiwan,"10,241,523",,"19,005",,"10,222,518",0,,"30,742,304","1,286,903","23,888,595",Asia,2
Argentina,"10,128,845",,"130,841",,"9,997,258",746,,"35,716,069","776,264","46,010,234",South America,5
Netherlands,"8,635,786",,"22,992",,"8,612,599",195,N/A,"25,984,435","1,509,718","17,211,447",Europe,2
Mexico,"7,702,809",,"334,958",,"6,899,865","467,986",N/A,"20,013,810","152,124","131,562,772",North America,17
Iran,"7,627,186",,"146,811",,N/A,N/A,,"57,320,267","666,338","86,022,837",Asia,11
Indonesia,"6,829,221",,"162,063",,"6,647,104","20,054",N/A,"114,158,919","408,975","279,134,505",Asia,41
Poland,"6,661,991",,"120,598",,N/A,N/A,N/A,"39,323,709","1,041,970","37,739,785",Europe,6
Colombia,"6,400,173",,"143,200",,"6,212,152","44,821",342,"36,951,507","717,327","51,512,762",South America,8
Greece,"6,101,379",,"37,869",,N/A,N/A,,"102,228,365","9,909,078","10,316,637",Europe,2
Austria,"6,081,287",,"22,542",,"6,054,934","3,811",,"211,273,524","23,302,116","9,066,710",Europe,1
Portugal,"5,643,062",,"28,126",,"5,614,809",127,61,"46,139,518","4,549,993","10,140,570",Europe,2
Ukraine,"5,557,995",,"112,418",,"5,445,577",0,,"32,603,805","754,855","43,192,122",Europe,8
Chile,"5,384,853",,"64,497",,"5,252,450","67,906",7,"50,382,097","2,617,225","19,250,195",South America,4
Malaysia,"5,278,406",,"37,348",,"5,233,268","7,790",11,"68,580,916","2,066,869","33,181,072",Asia,6
Canada,"4,946,090",,"59,034",,"4,881,312","5,744",99,"66,572,774","1,734,189","38,388,419",North America,8
Belgium,"4,861,695",,"34,376",,"4,826,798",521,N/A,"37,454,182","3,209,915","11,668,278",Europe,2
Israel,"4,841,772",,"12,707",,"4,798,473","30,592",N/A,"41,373,364","4,436,346","9,326,000",Asia,2
DPRK,"4,772,813",,74,,"4,772,739",0,,,,"25,990,679",Asia,5
Thailand,"4,770,149",,"34,586",,"4,692,636","42,927",N/A,"17,273,454","246,488","70,078,203",Asia,15
Czechia,"4,759,041",,"43,517",,"4,715,206",318,2,"57,834,241","5,386,552","10,736,784",Europe,2
Peru,"4,572,667",,"222,161",,"4,350,506",0,4,"39,010,194","1,158,115","33,684,208",South America,7
